Network,Device,IP,DNS,NetBIOS,Comments,Team,CRQ,OS,QID,Title,vSTATUS,PORT,SSL,FirstDetected,LastDetected,CVE,CVSS,Solution,RESULT,AssetID,AssetLinkID
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160719","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2023-12375)","Active"," ","false","2023-06-08","2023-08-31","CVE-2022-3169  CVE-2023-0458  CVE-2023-1670  CVE-2023-2162  CVE-2023-2248  CVE-2023-23454  CVE-2023-28328 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-12375](https://linux.oracle.com/errata/ELSA-2023-12375.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-12375:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-12375.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.75.3.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.75.3.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","159380","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2021-9442)","Active"," ","false","2021-09-09","2023-08-31","CVE-2019-9456  CVE-2019-9458  CVE-2020-0305  CVE-2020-0429  CVE-2020-27068  CVE-2020-28097  CVE-2021-34693  CVE-2021-3609 ","9.8","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2021-9442](https://linux.oracle.com/errata/ELSA-2021-9442.html).\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2021-9442:Oracle Linux](https://linux.oracle.com/errata/ELSA-2021-9442.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.54.6.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.54.6.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","159403","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2021-9459)","Active"," ","false","2021-10-29","2023-08-31","CVE-2019-17133  CVE-2019-19448  CVE-2019-3900  CVE-2020-12114  CVE-2020-24586  CVE-2020-24587  CVE-2020-24588  CVE-2020-26139  CVE-2020-26140  CVE-2020-26141  CVE-2020-26142  CVE-2020-26143  CVE-2020-26144  CVE-2020-26145  CVE-2020-26146  CVE-2020-26147  CVE-2021-0512  CVE-2021-3655  CVE-2021-3715  CVE-2021-38160  CVE-2021-40490 ","9.8","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2021-9459](https://linux.oracle.com/errata/ELSA-2021-9459.html).\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2021-9459:Oracle Linux](https://linux.oracle.com/errata/ELSA-2021-9459.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.54.6.1.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.54.6.1.el7uek\nkernel;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","159420","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2021-9473)","Active"," ","false","2021-10-29","2023-08-31","CVE-2017-18216  CVE-2018-9517  CVE-2019-10220  CVE-2019-19063  CVE-2019-19066  CVE-2019-19074  CVE-2019-3901  CVE-2020-12771 ","8.8","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2021-9473](https://linux.oracle.com/errata/ELSA-2021-9473.html).\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2021-9473:Oracle Linux](https://linux.oracle.com/errata/ELSA-2021-9473.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.56.1.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.56.1.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160447","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2023-12109)","Active"," ","false","2023-02-08","2023-08-31","CVE-2022-3524  CVE-2022-3564  CVE-2022-3628  CVE-2022-42895  CVE-2022-42896  CVE-2022-4662 ","8.8","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-12109](https://linux.oracle.com/errata/ELSA-2023-12109.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-12109:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-12109.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.71.3.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.71.3.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160012","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2022-9667)","Active"," ","false","2022-08-03","2023-08-31","CVE-2022-0492  CVE-2022-32250  CVE-2022-33981 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2022-9667](https://linux.oracle.com/errata/ELSA-2022-9667.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2022-9667:Oracle Linux](https://linux.oracle.com/errata/ELSA-2022-9667.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.65.1.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.65.1.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160123","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2022-9852)","Active"," ","false","2022-10-06","2023-08-31","CVE-2017-16537  CVE-2017-18270  CVE-2017-7472  CVE-2018-9422  CVE-2020-12770  CVE-2020-14390  CVE-2021-30002  CVE-2021-43976  CVE-2021-45486  CVE-2022-0850  CVE-2022-1184  CVE-2022-2503  CVE-2022-2964  CVE-2022-3028  CVE-2022-36879 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2022-9852](https://linux.oracle.com/errata/ELSA-2022-9852.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2022-9852:Oracle Linux](https://linux.oracle.com/errata/ELSA-2022-9852.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.67.3.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.67.3.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","159453","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2021-9534)","Active"," ","false","2021-11-11","2023-08-31","CVE-2018-1000026  CVE-2019-10207  CVE-2019-19813  CVE-2021-3564 ","7.7","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2021-9534](https://linux.oracle.com/errata/ELSA-2021-9534.html).\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2021-9534:Oracle Linux](https://linux.oracle.com/errata/ELSA-2021-9534.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.57.1.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.57.1.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","159860","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2022-9422)","Active"," ","false","2022-05-25","2023-08-31","CVE-2022-21499 ","6.7","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2022-9422](https://linux.oracle.com/errata/ELSA-2022-9422.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2022-9422:Oracle Linux](https://linux.oracle.com/errata/ELSA-2022-9422.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.62.3.1.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.62.3.1.el7uek\nkernel;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","159969","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2022-9557)","Active"," ","false","2022-07-06","2023-08-31","CVE-2022-1652  CVE-2022-28388  CVE-2022-28390 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2022-9557](https://linux.oracle.com/errata/ELSA-2022-9557.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2022-9557:Oracle Linux](https://linux.oracle.com/errata/ELSA-2022-9557.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.64.1.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.64.1.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160076","Oracle Enterprise Linux Security Update for unbreakable enterprise kernel (ELSA-2022-9761)","Active"," ","false","2022-09-07","2023-08-31","CVE-2019-9213  CVE-2020-36516  CVE-2020-36557  CVE-2020-36558  CVE-2021-33655  CVE-2021-33656  CVE-2022-1011  CVE-2022-21546  CVE-2022-2588 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2022-9761](https://linux.oracle.com/errata/ELSA-2022-9761.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2022-9761:Oracle Linux](https://linux.oracle.com/errata/ELSA-2022-9761.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.66.3.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.66.3.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","159568","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2021-9577)","Active"," ","false","2022-02-23","2023-08-31","CVE-2021-3732 ","5.5","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2021-9577](https://linux.oracle.com/errata/ELSA-2021-9577.html).\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2021-9577:Oracle Linux](https://linux.oracle.com/errata/ELSA-2021-9577.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.58.2.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.58.2.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","159614","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2022-9014)","Active"," ","false","2022-02-23","2023-08-31","CVE-2021-0920  CVE-2021-1048  CVE-2021-4155 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2022-9014](https://linux.oracle.com/errata/ELSA-2022-9014.html).\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2022-9014:Oracle Linux](https://linux.oracle.com/errata/ELSA-2022-9014.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.59.1.2.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.59.1.2.el7uek\nkernel;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","159621","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2022-9088)","Active"," ","false","2022-02-23","2023-08-31","CVE-2021-0129  CVE-2021-1048  CVE-2021-20321  CVE-2021-3752  CVE-2021-3753  CVE-2021-4155 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2022-9088](https://linux.oracle.com/errata/ELSA-2022-9088.html).\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2022-9088:Oracle Linux](https://linux.oracle.com/errata/ELSA-2022-9088.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.60.1.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.60.1.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","160877","Oracle Enterprise Linux Security Update for cups (ELSA-2023-4766)","Active"," ","false","2023-08-30","2023-08-31","CVE-2023-32360 ","5.5","To resolve this issue, upgrade to the latest packages which contain a patch.Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2023-4766](https://linux.oracle.com/errata/ELSA-2023-4766.html)\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2023-4766:Oracle Linux](https://linux.oracle.com/errata/ELSA-2023-4766.html)","Package\tInstalled Version\tRequired Version\ncups-libs\t1.6.3-51.el7.x86_64\t1.6.3-52.el7_9;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","159085","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2021-9079)","Active"," ","false","2021-03-05","2023-08-31","CVE-2020-0431  CVE-2021-26930  CVE-2021-26931  CVE-2021-26932 ","7.8","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2021-9079](https://linux.oracle.com/errata/ELSA-2021-9079.html).\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2021-9079:Oracle Linux](https://linux.oracle.com/errata/ELSA-2021-9079.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.48.5.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.48.5.el7uek\nkernel-uek;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","376813","Azure Open Management Infrastructure (OMI) Elevation of Privilege Vulnerability for August 2022","Active"," ","false","2022-08-10","2023-08-31","CVE-2022-33640 ","7.8","Customers are advised to refer to [CVE-2022-33640](https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-33640) for more details pertaining to this vulnerability\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [CVE-2022-33640](https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-33640)","Package\tInstalled Version\tRequired Version\nomi\t1.6.8-1.x86_64\t1.6.10-2;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","158920","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2020-5917)","Active"," ","false","2020-12-10","2023-08-31","CVE-2020-8694  CVE-2020-8695 ","5.5","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2020-5917](https://linux.oracle.com/errata/ELSA-2020-5917.html).\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2020-5917:Oracle Linux](https://linux.oracle.com/errata/ELSA-2020-5917.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.44.4.1.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.44.4.1.el7uek\nkernel;","18488789","1013904"
"ARC","UnixServer","10.64.0.68","arc-prd-db1","","","","","Oracle Enterprise Linux 7.9","158923","Oracle Enterprise Linux Security Update for Unbreakable Enterprise kernel (ELSA-2020-5926)","Active"," ","false","2020-12-10","2023-08-31","CVE-2020-8694  CVE-2020-8695 ","5.5","To resolve this issue, upgrade to the latest packages which contain a patch. Refer to Oracle Enterprise Linux advisory below for updates and patch information:[ELSA-2020-5926](https://linux.oracle.com/errata/ELSA-2020-5926.html).\nPatch:\nFollowing are links for downloading patches to fix the vulnerabilities:\n [ELSA-2020-5926:Oracle Linux](https://linux.oracle.com/errata/ELSA-2020-5926.html)","Package\tInstalled Version\tRequired Version\nkernel-uek-firmware\t4.1.12-124.41.4.el7uek.noarch\t4.1.12-124.45.2.el7uek\nkernel-uek-firmware\t4.1.12-124.24.1.el7uek.noarch\t4.1.12-124.45.2.el7uek\nkernel-uek;","18488789","1013904"
